id,Title,Votes,Status,Types,Episodes,Score,Source,Members,Popularity,Favourites,Rating,Year,Season,Genres,Studios
30997,Ojiichan no Tomato,18,finished_airing,ova,1,,,129,18257,,g,,,"['Drama', 'Kids']",
31509,Ichi-gan Kuni,28,finished_airing,movie,1,,,132,18205,,g,,,,
35093,Saigo no Kuushuu: Kumagaya,20,finished_airing,ova,1,,other,137,18127,,g,,,"['Drama', 'Historical']",
35605,Astar-eul Hyanghae Chaguchagu,44,finished_airing,tv,27,,game,276,15864,,g,2014,spring,['Team Sports'],
36117,Katte ni Shiyagatte,160,finished_airing,music,1,4.89,music,300,15513,,pg_13,2012,fall,"['Avant Garde', 'Music']",
36373,Pink Jumon,69,finished_airing,music,1,,original,180,17397,,g,2011,winter,['Music'],
37653,Caribadix 2nd Season,50,finished_airing,tv,39,,original,294,15589,,pg,2018,spring,"['Comedy', 'Music']",
38933,Hirooka Asako,97,finished_airing,special,2,,original,212,16822,,g,2015,fall,['Historical'],
39189,Te Ke Dong Ji Pian,8,finished_airing,ona,54,,,73,18988,,,,,['Action'],
39957,Hope,152,finished_airing,music,1,6.21,original,360,14773,,pg_13,2018,fall,"['Music', 'Romance']",
41237,SNOBBISM,,finished_airing,music,1,,original,,,,,,,['Music'],
42005,Stand Up! Blaze Up!,,finished_airing,music,1,,,,,,,,,['Music'],
43541,Kan Men De Hei Gou,6,finished_airing,movie,1,,original,38,19667,,g,,,['Kids'],['Shanghai Animation Film Studio']
43797,Shan Ya Zi,4,finished_airing,movie,1,,,32,19935,,g,,,['Kids'],['Shanghai Animation Film Studio']
44053,Hua Jianghu: Gui Yexing,27,finished_airing,ona,40,,original,228,16546,,pg_13,2020,fall,"['Action', 'Racing']",['Rocen']
44309,Lan Mao Xingji Dazhan,,finished_airing,tv,384,,original,,,,pg,,,"['Adventure', 'Comedy', 'Kids']",
44565,Lu Shidai Xinnian Fanwai Pian,10,finished_airing,special,1,,game,39,19649,,pg_13,2014,winter,['Comedy'],
44821,Tu Tu Weiji,,finished_airing,movie,1,,original,,,,pg,,,"['Adventure', 'Fantasy', 'Kids']",
45077,Ni Wang Dasha,,finished_airing,movie,2,,original,,,,pg_13,,,['Adventure'],
45333,Guai Guai Pinyin Lixian Ji,,finished_airing,tv,20,,original,,,,pg,,,"['Adventure', 'Kids']",
